TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"3241427","YuGiOh","Structure Deck: Yugi Muto","Beta The Magnet Warrior","","SDMY-EN008","Common","Lightly Played 1st Edition","0.44","","1.6100","0.3000","0","0","0.3300",""
"3241401","YuGiOh","Structure Deck: Yugi Muto","Gamma The Electromagnet Warrior","","SDMY-EN003","Super Rare","Near Mint 1st Edition","3.78","3.78","2.3100","1.0000","0","0","4.1200",""
"3241562","YuGiOh","Structure Deck: Yugi Muto","Magnet Conversion","","SDMY-EN035","Common","Lightly Played 1st Edition","0.44","","1.5600","0.2500","0","0","0.3100",""
"3241506","YuGiOh","Structure Deck: Yugi Muto","Magnetic Field","","SDMY-EN024","Common","Near Mint 1st Edition","2.17","","2.9100","1.6000","0","0","1.8200",""
"3241572","YuGiOh","Structure Deck: Yugi Muto","Mirror Force","","SDMY-EN037","Common","Lightly Played 1st Edition","0.94","","2.8000","1.4900","0","0","0.7500",""
"3241417","YuGiOh","Structure Deck: Yugi Muto","Valkyrion the Magna Warrior","","SDMY-EN006","Common","Lightly Played 1st Edition","0.60","","1.9100","0.6000","0","0","0.3500",""
"582863","YuGiOh","Structure Deck: Zombie Madness","Vampire Genesis","","SD2-EN001","Ultra Rare","Moderately Played Unlimited","0.33","","1.5600","0.2500","0","0","0.2800",""
"550007","YuGiOh","Structure Deck: Zombie Madness","Vampire Genesis","","SD2-EN001","Ultra Rare","Moderately Played 1st Edition","0.37","","1.5600","0.2500","0","0","0.1700",""
"542071","YuGiOh","Structure Deck: Zombie World","Red-Eyes Zombie Dragon","","SDZW-EN001","Ultra Rare","Lightly Played 1st Edition","0.97","","1.8100","0.5000","0","0","1.3000",""
"1238060","YuGiOh","Super Starter: Space-Time Showdown Power-Up Pack","Kuraz the Light Monarch","","YS14-ENA03","Common","Lightly Played 1st Edition","0.62","","1.7500","0.4400","0","0","0.8300",""
"1238104","YuGiOh","Super Starter: Space-Time Showdown Power-Up Pack","Mirror Force","","YS14-ENA12","Common","Near Mint 1st Edition","1.03","","2.3300","1.0200","0","0","0.7500",""
"1096525","YuGiOh","Super Starter: V for Victory","Dark Bribe","","YS13-EN040","Common","Lightly Played 1st Edition","0.43","","1.6000","0.2900","1","0","0.3000",""
"550359","YuGiOh","Tactical Evolution","Cocoon Rebirth","","TAEV-EN050","Common","Moderately Played 1st Edition","","","1.3900","0.0800","1","0","0.0600",""
"574959","YuGiOh","Tactical Evolution","Elemental Hero Neos Alius","","TAEV-EN018","Super Rare","Lightly Played Unlimited","1.97","","6.4700","6.4700","0","0","1.5800",""
"550372","YuGiOh","Tactical Evolution","Mirror Gate","","TAEV-EN063","Super Rare","Moderately Played 1st Edition","0.30","","1.5600","0.2500","0","0","0.0900",""
"550339","YuGiOh","Tactical Evolution","Neo-Spacian Marine Dolphin","","TAEV-EN040","Common","Moderately Played 1st Edition","0.32","","1.4900","0.1800","3","0","0.2100",""
